model,trigger_name,trigger_value,epoch,average_loss,accuracy,correct_data,total_data
41,41_trigger,,23,0.489649878959375,79.71677074041035,7149,8968
73,73_trigger,,23,0.19479308098581197,98.1043710972346,8798,8968
51,51_trigger,,23,0.15909137945691992,98.92952720785013,8872,8968
74,74_trigger,,23,0.009937958883447283,99.60972346119536,8933,8968
3,3_trigger,,23,0.5609320153305298,93.3206958073149,8369,8968
18,18_trigger,,23,0.48103306829982523,86.65254237288136,7771,8968
29,29_trigger,,23,0.06433378833277113,99.47591436217664,8921,8968
62,62_trigger,,23,0.03148895288490147,98.67305976806423,8849,8968
33,33_trigger,,23,0.49844511040718187,89.03880463871543,7985,8968
88,88_trigger,,23,0.26174959968393346,94.15700267618197,8444,8968
global,combine,,23,3.6010937337679696,4.549509366636931,408,8968
global,global_in_41_trigger,,23,4.212370678529901,2.798840321141838,251,8968
global,global_in_73_trigger,,23,4.195629206648052,2.8657448706512043,257,8968
global,global_in_51_trigger,,23,4.066372186556977,3.1556645851917935,283,8968
global,global_in_74_trigger,,23,3.601093760566133,4.549509366636931,408,8968
global,global_in_3_trigger,,23,4.212370554322542,2.798840321141838,251,8968
global,global_in_18_trigger,,23,4.195629175170844,2.8657448706512043,257,8968
global,global_in_29_trigger,,23,4.066372106162487,3.1556645851917935,283,8968
global,global_in_62_trigger,,23,3.601093721857675,4.549509366636931,408,8968
global,global_in_33_trigger,,23,4.2123705915422125,2.798840321141838,251,8968
global,global_in_88_trigger,,23,4.195629144544371,2.8657448706512043,257,8968
41,41_trigger,,24,0.5320498133535155,84.67885816235504,7594,8968
73,73_trigger,,24,0.24491590514021405,94.02319357716324,8432,8968
51,51_trigger,,24,0.05214801280494251,99.95539696699376,8964,8968
74,74_trigger,,24,0.018759917419957934,99.30865298840321,8906,8968
3,3_trigger,,24,0.6066122367698948,88.12444246208743,7903,8968
18,18_trigger,,24,0.3345688725825828,93.09768064228368,8349,8968
29,29_trigger,,24,0.012411560025813853,99.89964317573595,8959,8968
62,62_trigger,,24,0.015634893142817317,99.36440677966102,8911,8968
33,33_trigger,,24,0.4619059758086379,92.07181088314005,8257,8968
88,88_trigger,,24,0.2606842916369119,94.94870651204282,8515,8968
global,combine,,24,4.7296223317162465,0.825156110615522,74,8968
global,global_in_41_trigger,,24,5.3388930030639,0.27876895628902765,25,8968
global,global_in_73_trigger,,24,5.317975937522595,0.27876895628902765,25,8968
global,global_in_51_trigger,,24,5.205511356442236,0.32337198929527206,29,8968
global,global_in_74_trigger,,24,4.7296222993883035,0.825156110615522,74,8968
global,global_in_3_trigger,,24,5.33889304687677,0.27876895628902765,25,8968
global,global_in_18_trigger,,24,5.317975959641714,0.27876895628902765,25,8968
global,global_in_29_trigger,,24,5.205511423650328,0.32337198929527206,29,8968
global,global_in_62_trigger,,24,4.729622373402278,0.825156110615522,74,8968
global,global_in_33_trigger,,24,5.338892954146617,0.27876895628902765,25,8968
global,global_in_88_trigger,,24,5.317976029402012,0.27876895628902765,25,8968
41,41_trigger,,25,0.4583133159738689,85.03568242640499,7626,8968
73,73_trigger,,25,0.23864865552943057,92.72970561998216,8316,8968
51,51_trigger,,25,0.031177110022912593,99.98884924174844,8967,8968
74,74_trigger,,25,0.012786392314712696,99.49821587867976,8923,8968
3,3_trigger,,25,0.6326672316235585,88.58162355040142,7944,8968
18,18_trigger,,25,0.45022472959879145,84.84611953612846,7609,8968
29,29_trigger,,25,0.023265776848362344,99.72123104371097,8943,8968
62,62_trigger,,25,0.011237527310360559,99.57627118644068,8930,8968
