model,epoch,average_loss,accuracy,correct_data,total_data
41,23,0.4758271050442552,83.2850133809099,7469,8968
73,23,0.13336583416340714,99.86619090098127,8956,8968
51,23,0.24592788465633444,95.35013380909902,8551,8968
74,23,0.009938050702008204,99.60972346119536,8933,8968
3,23,0.5530541334484008,93.38760035682427,8375,8968
18,23,0.4629522166966754,86.75289919714541,7780,8968
29,23,0.3002389438390519,88.07983942908118,7899,8968
62,23,0.03148886813083456,98.67305976806423,8849,8968
33,23,0.5259294508824276,88.7042818911686,7955,8968
88,23,0.21481736733459342,97.21231043710972,8718,8968
global,23,3.6010937337679696,4.549509366636931,408,8968
41,24,0.494344080031503,91.06824264049955,8167,8968
73,24,0.14951379856395466,97.16770740410348,8714,8968
51,24,0.11066557676012127,98.28278322925958,8814,8968
74,24,0.018759913644092914,99.30865298840321,8906,8968
3,24,0.5999424597389671,90.26538804638716,8095,8968
18,24,0.292265122352595,95.74041034790366,8586,8968
29,24,0.1947195681790679,92.62934879571812,8307,8968
62,24,0.015634892646870912,99.36440677966102,8911,8968
33,24,0.4516423956078147,92.28367528991971,8276,8968
88,24,0.2080031586719559,97.84790365744871,8775,8968
global,24,4.7296223317162465,0.825156110615522,74,8968
41,25,0.4504322442861671,87.14317573595004,7815,8968
73,25,0.171863741129238,96.6436217662801,8667,8968
51,25,0.12145434597791252,97.87020517395183,8777,8968
74,25,0.01278639233088442,99.49821587867976,8923,8968
3,25,0.6453733305437664,88.60392506690455,7946,8968
18,25,0.4408981589522349,85.2363960749331,7644,8968
29,25,0.20462045735155335,91.58117752007136,8213,8968
62,25,0.011237526436414848,99.57627118644068,8930,8968
33,25,0.4751177900981733,87.22123104371097,7822,8968
88,25,0.23642772850210808,97.23461195361284,8720,8968
global,25,3.736443901572453,4.159232827832293,373,8968
41,26,0.5978726862691323,77.19669937555754,6923,8968
73,26,0.1423273861182257,99.05218554861732,8883,8968
51,26,0.12063825285655383,97.20115967885816,8717,8968
74,26,0.011318088912455025,99.49821587867976,8923,8968
3,26,0.5992318518878518,91.77074041034791,8230,8968
18,26,0.5102547873459576,85.950044603033,7708,8968
29,26,0.2575349274035759,89.99776984834969,8071,8968
62,26,0.019857447319462592,99.18599464763605,8895,8968
33,26,0.4953264191573906,83.48572702943801,7487,8968
88,26,0.20714793531730918,96.53211418376449,8657,8968
global,26,4.884031216657981,0.9589652096342551,86,8968
41,27,0.5370640372134659,80.85414808206957,7251,8968
73,27,0.18008411402525804,99.16369313113292,8893,8968
51,27,0.11811721791495818,97.50223015165031,8744,8968
74,27,0.01928299082528067,99.21944692239072,8898,8968
3,27,0.6462744118697297,86.15075825156111,7726,8968
18,27,0.2257685810992167,97.29036574487066,8725,8968
29,27,0.21622989743442858,91.23550401427298,8182,8968
62,27,0.013004916565324046,99.53166815343444,8926,8968
33,27,0.4399389200291391,91.69268510258698,8223,8968
88,27,0.25172851788317063,97.71409455842998,8763,8968
global,27,3.804849276470351,4.058876003568242,364,8968
41,28,0.5059792689719868,84.04326494201607,7537,8968
73,28,0.13980609829887336,98.9964317573595,8878,8968
51,28,0.10907228123546178,97.2457627118644,8721,8968
74,28,0.00894654807335565,99.60972346119536,8933,8968
3,28,0.5602958979721477,89.62979482604817,8038,8968
18,28,0.19675391307640672,95.85191793041928,8596,8968
29,28,0.4452963030758338,79.1592328278323,7099,8968
62,28,0.011454130612295263,99.55396966993756,8928,8968
33,28,0.46793985201991317,85.53746654772524,7671,8968
88,28,0.19701274625963658,97.30151650312222,8726,8968
global,28,4.598179913758168,1.5722569134701159,141,8968
41,29,0.44526589506976205,88.73773416592329,7958,8968
73,29,0.1659496506471702,99.28635147190009,8904,8968
51,29,0.10434779414141104,97.85905441570026,8776,8968
