local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
41,221,23,1,0.022836094722151756,49.38488576449912,281,569
41,222,23,2,0.014276058413088322,48.50615114235501,276,569
41,223,23,3,0.012798618525266647,51.14235500878734,291,569
41,224,23,4,0.012197177857160568,48.154657293497365,274,569
41,225,23,5,0.011937197297811508,52.72407732864674,300,569
41,226,23,6,0.011453674174845219,51.31810193321616,292,569
41,227,23,7,0.011338600888848305,53.427065026362044,304,569
41,228,23,8,0.0113905668258667,52.54833040421792,299,569
41,229,23,9,0.011468997225165367,52.899824253075565,301,569
41,230,23,10,0.0116706108674407,47.27592267135325,269,569
73,221,23,1,0.014337645843625069,67.62452107279694,353,522
73,222,23,2,0.00831001065671444,72.03065134099617,376,522
73,223,23,3,0.00786417443305254,71.83908045977012,375,522
73,224,23,4,0.008458097465336323,68.39080459770115,357,522
73,225,23,5,0.008073135279119015,71.0727969348659,371,522
73,226,23,6,0.0074689448811113834,68.96551724137932,360,522
73,227,23,7,0.0076439413242042065,71.455938697318,373,522
73,228,23,8,0.007719533052295446,71.0727969348659,371,522
73,229,23,9,0.007775448262691498,68.96551724137932,360,522
73,230,23,10,0.007263024337589741,69.73180076628353,364,522
51,221,23,1,0.024115512147545815,48.83116883116883,188,385
51,222,23,2,0.01644640788435936,49.61038961038961,191,385
51,223,23,3,0.013513130135834217,50.12987012987013,193,385
51,224,23,4,0.012162074446678162,54.8051948051948,211,385
51,225,23,5,0.010190708562731743,71.16883116883118,274,385
51,226,23,6,0.009708845987915993,75.58441558441558,291,385
51,227,23,7,0.008297927677631378,81.03896103896105,312,385
51,228,23,8,0.007791126612573862,83.63636363636363,322,385
51,229,23,9,0.0068344310857355595,88.05194805194805,339,385
51,230,23,10,0.006262089125812054,91.68831168831169,353,385
74,221,23,1,0.011218962259590626,71.29186602870813,447,627
74,222,23,2,0.003315951908007264,90.43062200956938,567,627
74,223,23,3,0.0015034268144518137,96.65071770334929,606,627
74,224,23,4,0.0013116869376972318,96.96969696969697,608,627
74,225,23,5,0.0012054562103003263,97.4481658692185,611,627
74,226,23,6,0.001080391462892294,97.7671451355662,613,627
74,227,23,7,0.0010638610692694783,98.24561403508771,616,627
74,228,23,8,0.0006789659382775426,98.88357256778309,620,627
74,229,23,9,0.0007469065603800118,98.72408293460924,619,627
74,230,23,10,0.0005886490689590573,99.04306220095694,621,627
3,221,23,1,0.023563995957374573,48.06201550387597,248,516
3,222,23,2,0.020278234034776688,49.6124031007752,256,516
3,223,23,3,0.015674464404582977,47.86821705426357,247,516
3,224,23,4,0.014183158986270428,52.32558139534884,270,516
3,225,23,5,0.013556718826293945,51.356589147286826,265,516
3,226,23,6,0.013535021804273129,48.25581395348838,249,516
3,227,23,7,0.013195760548114777,51.162790697674424,264,516
3,228,23,8,0.012799191288650036,53.29457364341085,275,516
3,229,23,9,0.01241949200630188,52.32558139534884,270,516
3,230,23,10,0.0127386674284935,52.32558139534884,270,516
18,221,23,1,0.021548014134168625,51.515151515151516,391,759
18,222,23,2,0.0133993960916996,49.538866930171274,376,759
18,223,23,3,0.012073476798832417,50.988142292490124,387,759
18,224,23,4,0.011444779112935066,54.9407114624506,417,759
18,225,23,5,0.011431686580181122,54.01844532279315,410,759
18,226,23,6,0.011449664831161499,54.413702239789195,413,759
18,227,23,7,0.011425133794546127,52.83267457180501,401,759
18,228,23,8,0.011312575079500675,54.80895915678524,416,759
18,229,23,9,0.011053753085434437,53.75494071146245,408,759
18,230,23,10,0.011288135312497616,51.91040843214756,394,759
29,221,23,1,0.02362135797739029,50.19762845849802,254,506
29,222,23,2,0.014119254425168037,55.33596837944664,280,506
29,223,23,3,0.01010038796812296,66.40316205533597,336,506
29,224,23,4,0.009615139104425907,71.34387351778656,361,506
29,225,23,5,0.008151681162416935,80.43478260869566,407,506
29,226,23,6,0.006326702889055014,90.11857707509881,456,506
29,227,23,7,0.004965748637914658,93.87351778656127,475,506
29,228,23,8,0.0036897354293614626,96.6403162055336,489,506
29,229,23,9,0.0029534054920077324,97.4308300395257,493,506
29,230,23,10,0.0026491971220821142,97.82608695652173,495,506
62,221,23,1,0.011743133887648582,68.62068965517241,398,580
62,222,23,2,0.00598353473469615,83.62068965517241,485,580
